sensor0,sensor1,diff,time
9,9,0,179343
9,9,0,179344
9,9,0,179345
9,9,0,179357
9,9,0,179358
9,9,0,179359
9,9,0,179371
9,9,0,179372
9,9,0,179373
9,9,0,179374
9,9,0,179386
9,9,0,179387
9,9,0,179388
9,9,0,179400
9,9,0,179401
8,9,-1,179402
8,9,-1,179414
8,9,-1,179415
8,9,-1,179416
8,9,-1,179428
9,9,0,179429
9,9,0,179430
9,9,0,179431
10,10,0,179443
10,10,0,179444
10,10,0,179445
10,10,0,179457
9,9,0,179458
9,9,0,179459
9,9,0,179471
9,9,0,179472
9,9,0,179473
10,9,1,179499
10,10,0,179498
10,10,0,179487
10,10,0,179486
10,10,0,179484
9,9,0,179501
9,9,0,179512
9,9,0,179513
10,9,1,179515
10,10,0,179516
10,10,0,179527
10,10,0,179529
10,10,0,179530
10,10,0,179541
10,10,0,179542
10,10,0,179544
10,10,0,179555
10,10,0,179556
9,10,-1,179557
9,10,-1,179569
9,10,-1,179570
9,10,-1,179571
10,10,0,179583
10,10,0,179584
10,11,-1,179585
10,10,0,179612
10,10,0,179611
11,11,0,179598
11,11,0,179597
11,11,0,179599
10,10,0,179613
10,10,0,179625
10,10,0,179626
10,10,0,179627
10,10,0,179628
10,10,0,179640
10,10,0,179641
9,10,-1,179667
9,10,-1,179656
10,10,0,179642
9,10,-1,179654
9,10,-1,179655
10,10,0,179669
10,10,0,179670
10,10,0,179681
10,11,-1,179683
11,11,0,179684
11,11,0,179695
11,11,0,179696
11,11,0,179698
10,9,1,179723
10,10,0,179712
10,10,0,179709
10,10,0,179710
9,9,0,179724
9,9,0,179725
9,9,0,179737
9,9,0,179738
9,9,0,179739
9,9,0,179741
10,10,0,179754
10,9,1,179753
9,9,0,179752
10,10,0,179766
10,10,0,179767
10,10,0,179768
10,10,0,179780
10,10,0,179781
10,10,0,179782
10,10,0,179794
10,10,0,179795
10,10,0,179796
9,9,0,179838
9,9,0,179837
9,9,0,179825
9,9,0,179824
10,10,0,179807
9,9,0,179821
10,10,0,179810
10,10,0,179809
9,9,0,179839
9,9,0,179823
9,9,0,179850
9,10,-1,179852
10,10,0,179853
10,11,-1,179864
11,11,0,179866
11,11,0,179867
11,11,0,179878
11,11,0,179879
11,11,0,179881
11,11,0,179892
11,11,0,179893
11,11,0,179936
11,11,0,179935
11,12,-1,179934
11,12,-1,179922
11,12,-1,179921
11,11,0,179906
11,12,-1,179908
11,11,0,179907
11,11,0,179894
11,12,-1,179920
10,11,-1,179937
12,13,-1,179963
12,13,-1,179951
13,13,0,179964
10,11,-1,179949
11,12,-1,179950
13,14,-1,179965
13,14,-1,179977
13,14,-1,179978
13,14,-1,179979
13,13,0,179991
13,13,0,180033
13,14,-1,180032
13,14,-1,180021
13,14,-1,180020
13,14,-1,180018
13,13,0,180006
13,13,0,180004
13,13,0,179993
13,13,0,179992
13,14,-1,180007
13,13,0,180035
13,14,-1,180076
13,14,-1,180075
13,13,0,180074
12,13,-1,180061
12,13,-1,180062
12,13,-1,180049
12,13,-1,180047
12,13,-1,180046
12,13,-1,180060
13,14,-1,180088
13,13,0,180089
12,13,-1,180090
12,13,-1,180102
12,13,-1,180103
12,13,-1,180104
12,13,-1,180116
12,13,-1,180117
12,13,-1,180130
12,13,-1,180118
12,13,-1,180131
12,13,-1,180132
12,13,-1,180143
12,13,-1,180145
12,13,-1,180146
11,12,-1,180157
11,12,-1,180159
11,12,-1,180160
11,12,-1,180171
11,12,-1,180172
11,12,-1,180186
11,12,-1,180188
11,12,-1,180174
11,12,-1,180185
11,12,-1,180199
11,12,-1,180200
11,12,-1,180201
11,12,-1,180213
11,12,-1,180214
11,12,-1,180215
11,12,-1,180227
11,12,-1,180228
11,12,-1,180229
11,12,-1,180254
11,12,-1,180243
11,12,-1,180241
11,12,-1,180242
12,12,0,180256
12,13,-1,180257
12,13,-1,180268
12,12,0,180270
12,12,0,180271
11,12,-1,180272
11,12,-1,180284
11,11,0,180300
11,11,0,180311
11,12,-1,180299
11,12,-1,180286
11,12,-1,180285
11,12,-1,180297
11,11,0,180313
11,11,0,180314
12,12,0,180342
12,13,-1,180367
12,13,-1,180355
12,13,-1,180354
12,12,0,180353
12,12,0,180340
11,12,-1,180339
11,12,-1,180328
11,11,0,180326
11,11,0,180325
12,13,-1,180368
12,13,-1,180369
12,12,0,180381
11,11,0,180396
11,11,0,180395
10,11,-1,180397
12,12,0,180382
11,12,-1,180383
11,11,0,180492
11,12,-1,180480
11,12,-1,180479
11,12,-1,180478
11,12,-1,180467
11,12,-1,180465
11,12,-1,180464
11,12,-1,180453
11,12,-1,180451
10,11,-1,180409
11,12,-1,180439
11,12,-1,180438
11,11,0,180436
10,11,-1,180425
10,11,-1,180424
10,11,-1,180422
10,11,-1,180411
10,11,-1,180410
11,12,-1,180450
11,11,0,180493
11,11,0,180494
11,11,0,180506
10,11,-1,180521
10,11,-1,180520
11,11,0,180507
10,11,-1,180508
10,11,-1,180535
10,11,-1,180522
10,11,-1,180534
10,11,-1,180536
10,11,-1,180537
10,11,-1,180553
10,11,-1,180554
10,11,-1,180555
10,10,0,180557
12,13,-1,180611
12,12,0,180610
12,12,0,180598
12,13,-1,180597
12,13,-1,180596
12,13,-1,180612
12,13,-1,180583
11,12,-1,180582
11,12,-1,180570
10,11,-1,180568
12,13,-1,180584
10,11,-1,180569
13,14,-1,180625
13,14,-1,180624
13,14,-1,180626
13,14,-1,180637
13,14,-1,180639
13,14,-1,180640
13,14,-1,180651
13,14,-1,180653
13,14,-1,180654
14,15,-1,180682
14,14,0,180679
14,15,-1,180680
13,14,-1,180666
13,14,-1,180665
14,14,0,180668
14,15,-1,180693
14,15,-1,180694
14,15,-1,180695
14,15,-1,180707
14,15,-1,180708
14,14,0,180709
13,14,-1,180721
13,14,-1,180723
13,14,-1,180722
13,14,-1,180737
13,14,-1,180736
13,14,-1,180735
13,14,-1,180749
13,14,-1,180750
13,13,0,180751
12,13,-1,180763
12,13,-1,180764
12,13,-1,180765
11,12,-1,180776
11,12,-1,180778
12,13,-1,180793
11,12,-1,180792
11,12,-1,180779
11,12,-1,180790
12,13,-1,180804
12,12,0,180805
12,12,0,180807
12,12,0,180818
12,12,0,180819
12,12,0,180821
12,12,0,180832
12,12,0,180834
12,12,0,180833
12,12,0,180847
12,12,0,180846
11,12,-1,180848
11,12,-1,180850
12,12,0,180861
12,12,0,180862
12,12,0,180863
11,12,-1,180918
11,12,-1,180917
11,12,-1,180905
11,12,-1,180904
11,12,-1,180891
11,12,-1,180903
11,12,-1,180889
12,12,0,180877
12,12,0,180876
12,12,0,180875
11,12,-1,180890
11,12,-1,180919
11,12,-1,180931
11,12,-1,180932
11,12,-1,180933
11,12,-1,180944
11,12,-1,180961
11,12,-1,180972
11,12,-1,180960
11,12,-1,180947
11,11,0,180946
11,12,-1,180958
11,12,-1,180973
11,12,-1,180975
11,12,-1,180986
12,13,-1,181014
12,13,-1,181030
12,13,-1,181029
12,13,-1,181028
12,13,-1,181016
12,13,-1,181015
11,12,-1,181001
13,13,0,181042
11,12,-1,181000
11,12,-1,180989
11,12,-1,180987
12,13,-1,181002
13,13,0,181043
13,13,0,181071
13,13,0,181072
13,13,0,181058
13,13,0,181069
13,13,0,181057
13,13,0,181056
13,13,0,181044
13,13,0,181083
13,13,0,181085
13,13,0,181086
13,14,-1,181087
13,14,-1,181099
13,13,0,181100
13,13,0,181101
13,13,0,181112
13,13,0,181114
13,13,0,181126
13,13,0,181115
12,12,0,181128
12,12,0,181129
12,12,0,181140
12,12,0,181141
12,12,0,181143
12,12,0,181154
12,12,0,181155
12,12,0,181157
13,13,0,181197
13,13,0,181212
13,13,0,181211
13,13,0,181210
13,13,0,181198
13,13,0,181196
12,12,0,181182
12,12,0,181183
12,12,0,181170
12,12,0,181169
12,12,0,181168
12,13,-1,181184
13,13,0,181223
12,13,-1,181225
11,12,-1,181268
11,12,-1,181266
11,12,-1,181255
11,12,-1,181254
11,12,-1,181253
11,12,-1,181241
11,12,-1,181239
12,12,0,181237
12,12,0,181226
11,12,-1,181240
11,11,0,181308
10,11,-1,181323
10,11,-1,181322
11,11,0,181311
11,11,0,181309
11,11,0,181297
11,12,-1,181280
11,12,-1,181294
11,12,-1,181283
11,12,-1,181282
11,12,-1,181269
11,12,-1,181295
10,11,-1,181324
10,11,-1,181336
10,11,-1,181337
12,12,0,181405
12,12,0,181407
12,12,0,181408
12,12,0,181419
11,11,0,181434
11,11,0,181422
11,11,0,181433
11,11,0,181436
11,11,0,181420
12,12,0,181393
12,12,0,181394
11,11,0,181380
11,11,0,181379
11,11,0,181378
11,11,0,181366
10,11,-1,181365
10,11,-1,181364
10,11,-1,181352
10,11,-1,181351
10,11,-1,181350
10,11,-1,181338
11,12,-1,181391
11,11,0,181447
11,12,-1,181448
11,12,-1,181449
11,12,-1,181461
11,12,-1,181462
11,12,-1,181463
11,11,0,181475
11,11,0,181476
11,11,0,181477
11,11,0,181478
11,11,0,181504
11,11,0,181492
11,11,0,181491
11,11,0,181490
11,11,0,181505
11,12,-1,181506
11,12,-1,181518
11,12,-1,181519
11,12,-1,181520
11,12,-1,181532
11,12,-1,181533
11,12,-1,181534
11,12,-1,181561
11,12,-1,181559
11,12,-1,181548
11,12,-1,181547
11,12,-1,181546
11,12,-1,181562
11,12,-1,181573
11,12,-1,181575
11,12,-1,181576
11,12,-1,181587
11,12,-1,181588
11,12,-1,181590
11,12,-1,181601
11,12,-1,181615
11,12,-1,181602
11,12,-1,181604
11,12,-1,181616
11,12,-1,181617
12,13,-1,181629
12,13,-1,181630
12,13,-1,181631
12,13,-1,181643
12,13,-1,181644
12,12,0,181645
11,12,-1,181658
11,12,-1,181657
11,12,-1,181659
11,12,-1,181671
11,12,-1,181672
11,12,-1,181673
11,12,-1,181684
11,12,-1,181686
11,12,-1,181687
11,12,-1,181698
11,12,-1,181701
11,12,-1,181700
11,12,-1,181712
11,12,-1,181715
11,12,-1,181726
11,12,-1,181727
11,12,-1,181729
11,12,-1,181740
11,12,-1,181741
12,13,-1,181742
12,13,-1,181754
12,13,-1,181755
12,13,-1,181756
12,13,-1,181768
12,13,-1,181769
12,13,-1,181770
12,13,-1,181782
12,13,-1,181783
12,13,-1,181784
12,13,-1,181796
12,13,-1,181797
12,13,-1,181798
12,13,-1,181809
12,13,-1,181811
12,13,-1,181812
12,13,-1,181823
12,13,-1,181825
12,13,-1,181837
12,13,-1,181826
12,13,-1,181839
12,13,-1,181840
12,13,-1,181851
12,13,-1,181852
12,13,-1,181854
12,13,-1,181855
12,13,-1,181866
12,13,-1,181868
12,13,-1,181869
12,13,-1,181880
11,12,-1,181895
11,12,-1,181894
11,12,-1,181881
11,12,-1,181883
11,12,-1,181908
11,12,-1,181909
11,12,-1,181910
11,12,-1,181922
11,12,-1,181923
11,13,-2,181924
11,13,-2,181936
11,13,-2,181937
11,13,-2,181938
11,13,-2,181950
11,13,-2,181951
11,13,-2,181952
11,12,-1,181964
11,12,-1,181965
11,12,-1,181966
11,12,-1,181977
11,12,-1,181979
11,12,-1,181980
11,12,-1,181991
11,12,-1,181993
11,12,-1,182005
11,12,-1,181994
11,12,-1,182006
11,12,-1,182008
11,12,-1,182019
11,12,-1,182020
11,12,-1,182022
11,12,-1,182033
11,12,-1,182034
11,12,-1,182036
11,12,-1,182047
11,12,-1,182048
11,12,-1,182049
11,12,-1,182061
11,12,-1,182062
11,12,-1,182063
11,11,0,182075
10,11,-1,182076
10,11,-1,182077
10,11,-1,182089
10,11,-1,182090
11,11,0,182091
11,11,0,182103
11,11,0,182104
11,11,0,182105
11,11,0,182116
11,11,0,182118
11,11,0,182119
11,11,0,182130
11,11,0,182132
11,11,0,182133
11,11,0,182144
11,11,0,182145
11,11,0,182147
11,11,0,182158
11,11,0,182159
11,11,0,182161
11,12,-1,182162
11,12,-1,182173
11,12,-1,182174
11,12,-1,182176
11,12,-1,182187
11,12,-1,182188
11,12,-1,182190
11,12,-1,182201
11,12,-1,182202
11,12,-1,182203
11,12,-1,182215
11,12,-1,182216
11,12,-1,182217
11,11,0,182229
10,11,-1,182230
10,11,-1,182231
10,11,-1,182243
10,11,-1,182244
10,11,-1,182245
11,12,-1,182257
11,12,-1,182258
11,12,-1,182259
11,13,-2,182272
11,12,-1,182270
11,12,-1,182273
11,12,-1,182284
11,12,-1,182286
11,12,-1,182287
11,12,-1,182298
11,12,-1,182300
11,12,-1,182301
11,12,-1,182312
11,12,-1,182315
11,12,-1,182313
11,12,-1,182329
11,12,-1,182326
11,12,-1,182327
11,13,-2,182341
12,13,-1,182343
12,13,-1,182354
12,14,-2,182355
12,14,-2,182356
12,14,-2,182369
12,14,-2,182368
12,14,-2,182370
12,14,-2,182382
12,14,-2,182384
12,14,-2,182383
12,14,-2,182396
12,14,-2,182397
12,14,-2,182398
12,14,-2,182410
12,14,-2,182411
12,14,-2,182412
13,14,-1,182424
13,14,-1,182425
14,15,-1,182426
14,15,-1,182437
14,16,-2,182439
15,17,-2,182453
15,16,-1,182440
15,16,-1,182451
16,17,-1,182454
16,17,-1,182465
16,17,-1,182466
16,18,-2,182468
17,18,-1,182479
17,18,-1,182480
16,17,-1,182482
16,17,-1,182493
15,17,-2,182495
16,17,-1,182494
15,17,-2,182507
15,17,-2,182508
15,17,-2,182509
15,17,-2,182521
15,16,-1,182522
15,16,-1,182523
15,16,-1,182535
16,17,-1,182536
17,18,-1,182537
18,20,-2,182548
19,21,-2,182554
21,23,-2,182555
23,24,-1,182556
23,25,-2,182558
24,25,-1,182569
25,26,-1,182570
25,26,-1,182571
25,26,-1,182583
25,25,0,182584
24,25,-1,182585
24,25,-1,182598
25,25,0,182599
24,25,-1,182597
25,26,-1,182611
26,26,0,182612
26,26,0,182613
27,27,0,182624
28,28,0,182626
29,29,0,182627
30,30,0,182638
31,31,0,182640
32,32,0,182641
33,33,0,182652
33,33,0,182653
34,34,0,182655
35,34,1,182666
35,35,0,182667
36,36,0,182669
37,37,0,182680
39,39,0,182682
40,39,1,182694
40,39,1,182695
40,40,0,182696
40,40,0,182708
42,42,0,182723
41,40,1,182710
40,40,0,182709
42,41,1,182722
43,43,0,182725
43,43,0,182737
43,42,1,182738
42,41,1,182739
42,41,1,182751
42,41,1,182752
40,39,1,182766
41,40,1,182765
42,41,1,182753
39,38,1,182767
39,38,1,182778
39,38,1,182780
39,38,1,182781
39,38,1,182792
39,38,1,182794
39,37,2,182795
37,34,3,182807
38,36,2,182806
33,30,3,182820
31,28,3,182821
30,27,3,182823
29,27,2,182834
30,28,2,182836
29,27,2,182835
32,29,3,182848
33,30,3,182849
33,30,3,182850
33,31,2,182862
33,31,2,182863
33,31,2,182864
33,31,2,182865
34,31,3,182877
34,31,3,182878
34,31,3,182891
33,31,2,182879
35,32,3,182892
35,32,3,182893
36,33,3,182905
36,34,2,182906
37,34,3,182907
36,34,2,182918
37,35,2,182920
39,36,3,182921
40,37,3,182932
41,38,3,182934
41,39,2,182935
42,39,3,182946
42,39,3,182947
42,40,2,182949
43,42,1,182960
43,42,1,182961
43,42,1,182963
42,41,1,182974
41,39,2,182975
39,38,1,182976
38,37,1,182988
37,36,1,182989
36,36,0,182990
36,35,1,183003
36,35,1,183002
36,36,0,183004
37,37,0,183005
38,38,0,183017
39,39,0,183018
38,39,-1,183019
37,38,-1,183031
37,38,-1,183032
37,38,-1,183033
36,38,-2,183045
36,38,-2,183046
36,37,-1,183047
34,35,-1,183059
32,33,-1,183060
31,33,-2,183061
31,33,-2,183072
32,34,-2,183074
33,36,-3,183075
35,38,-3,183086
37,38,-1,183088
37,38,-1,183100
37,37,0,183102
37,38,-1,183089
36,37,-1,183103
37,38,-1,183114
37,38,-1,183115
37,37,0,183117
37,37,0,183128
37,37,0,183129
37,37,0,183131
37,36,1,183142
37,37,0,183143
38,37,1,183144
38,37,1,183156
38,37,1,183157
38,37,1,183158
38,37,1,183170
39,38,1,183171
39,38,1,183172
40,38,2,183184
40,38,2,183185
41,38,3,183186
41,38,3,183198
42,39,3,183199
42,39,3,183200
42,39,3,183201
42,38,4,183213
41,36,5,183214
40,36,4,183215
40,36,4,183226
39,36,3,183228
39,36,3,183229
39,36,3,183240
39,36,3,183242
39,36,3,183243
38,35,3,183254
37,35,2,183255
38,36,2,183257
41,40,1,183269
40,38,2,183268
42,41,1,183271
44,42,2,183282
44,43,1,183283
44,43,1,183284
45,43,2,183296
45,44,1,183297
45,43,2,183298
44,43,1,183310
44,43,1,183312
44,43,1,183311
44,42,2,183324
44,42,2,183325
43,42,1,183326
43,43,0,183338
44,44,0,183339
45,45,0,183340
45,46,-1,183341
47,46,1,183354
46,47,-1,183353
45,45,0,183355
44,43,1,183368
44,44,0,183367
43,42,1,183369
42,42,0,183380
42,42,0,183382
42,43,-1,183383
43,43,0,183394
43,43,0,183396
42,42,0,183397
41,41,0,183408
40,40,0,183409
38,37,1,183422
39,38,1,183411
36,35,1,183423
35,35,0,183425
34,34,0,183436
34,34,0,183437
35,35,0,183438
35,36,-1,183450
36,37,-1,183451
37,38,-1,183452
38,38,0,183464
39,39,0,183465
39,39,0,183466
36,35,1,183480
37,36,1,183479
38,37,1,183478
36,35,1,183491
35,34,1,183493
35,34,1,183494
35,34,1,183495
34,33,1,183507
34,33,1,183508
35,34,1,183509
36,36,0,183520
39,38,1,183522
40,39,1,183523
41,39,2,183534
41,39,2,183536
42,41,1,183537
44,44,0,183548
47,47,0,183549
50,48,2,183551
51,50,1,183562
53,51,2,183563
54,52,2,183565
55,52,3,183576
55,52,3,183577
54,50,4,183590
54,51,3,183578
53,50,3,183591
52,49,3,183592
52,48,4,183604
52,49,3,183605
53,50,3,183606
54,50,4,183618
53,50,3,183619
53,49,4,183620
53,49,4,183631
52,49,3,183633
52,49,3,183634
52,49,3,183635
52,49,3,183647
53,49,4,183648
52,47,5,183649
50,45,5,183661
48,44,4,183662
47,43,4,183663
46,43,3,183674
46,42,4,183676
44,39,5,183677
41,36,5,183688
39,35,4,183689
38,34,4,183691
37,33,4,183702
36,32,4,183703
35,31,4,183705
34,31,3,183716
33,30,3,183717
33,30,3,183718
34,31,3,183730
34,31,3,183731
34,31,3,183732
34,31,3,183744
32,29,3,183745
31,28,3,183746
30,28,2,183758
30,29,1,183759
32,30,2,183760
34,32,2,183761
35,34,1,183773
37,35,2,183775
37,35,2,183787
37,35,2,183788
37,35,2,183789
37,35,2,183801
37,36,1,183802
37,35,2,183803
36,34,2,183814
36,35,1,183816
37,35,2,183817
37,35,2,183828
37,35,2,183830
37,35,2,183831
37,35,2,183842
37,35,2,183843
38,36,2,183845
39,37,2,183856
40,37,3,183857
41,38,3,183870
40,37,3,183859
42,39,3,183871
42,40,2,183872
43,40,3,183884
44,41,3,183885
45,41,4,183886
44,40,4,183898
43,39,4,183899
42,38,4,183900
40,37,3,183901
39,36,3,183913
39,36,3,183914
38,35,3,183915
38,35,3,183927
37,35,2,183928
37,35,2,183929
37,35,2,183941
37,35,2,183942
38,35,3,183943
38,35,3,183954
37,35,2,183956
38,37,1,183957
41,39,2,183970
42,40,2,183971
43,41,2,183982
43,41,2,183983
43,40,3,183985
42,40,2,183996
41,39,2,183997
40,38,2,183999
40,38,2,184010
39,37,2,184011
39,36,3,184012
38,36,2,184024
38,35,3,184026
38,36,2,184025
37,35,2,184038
37,36,1,184039
38,36,2,184040
39,37,2,184041
39,37,2,184053
40,38,2,184054
41,40,1,184055
43,43,0,184067
45,44,1,184068
46,45,1,184069
46,45,1,184081
47,45,2,184082
46,45,1,184083
46,45,1,184095
45,44,1,184096
44,43,1,184097
44,43,1,184108
43,42,1,184110
43,43,0,184111
44,44,0,184122
45,45,0,184125
44,45,-1,184124
45,46,-1,184136
46,46,0,184137
47,46,1,184139
47,47,0,184150
47,47,0,184151
47,47,0,184153
47,47,0,184164
47,47,0,184165
47,46,1,184166
46,44,2,184178
44,43,1,184179
43,44,-1,184180
45,46,-1,184182
47,47,0,184193
48,47,1,184194
47,46,1,184195
47,46,1,184207
47,46,1,184208
46,45,1,184209
46,45,1,184221
46,45,1,184222
46,45,1,184223
45,44,1,184235
44,42,2,184236
